h approx_res analytical_res
3.28 0.942663 0.942662
3.29 0.943424 0.943423
3.3 0.944176 0.944175
3.31 0.944919 0.944917
3.32 0.945652 0.945651
3.33 0.946378 0.946376
3.34 0.947094 0.947093
3.35 0.947802 0.947801
3.36 0.948501 0.9485
3.37 0.949192 0.949191
3.38 0.949875 0.949874
3.39 0.950549 0.950548
3.4 0.951215 0.951214
3.41 0.951874 0.951873
3.42 0.952524 0.952523
3.43 0.953166 0.953165
3.44 0.953801 0.9538
3.45 0.954428 0.954427
3.46 0.955047 0.955046
3.47 0.955659 0.955658
3.48 0.956263 0.956262
3.49 0.95686 0.956859
3.5 0.95745 0.957449
3.51 0.958032 0.958032
3.52 0.958607 0.958607
3.53 0.959176 0.959175
3.54 0.959737 0.959736
3.55 0.960291 0.960291
3.56 0.960839 0.960838
3.57 0.961379 0.961379
3.58 0.961913 0.961913
3.59 0.962441 0.96244
3.6 0.962962 0.962961
3.61 0.963476 0.963476
3.62 0.963984 0.963984
3.63 0.964486 0.964485
3.64 0.964981 0.964981
3.65 0.96547 0.96547
3.66 0.965953 0.965953
3.67 0.96643 0.96643
3.68 0.966901 0.966901
3.69 0.967367 0.967366
3.7 0.967826 0.967826
3.71 0.968279 0.968279
3.72 0.968727 0.968727
3.73 0.969169 0.969169
3.74 0.969606 0.969606
3.75 0.970037 0.970036
3.76 0.970462 0.970462
3.77 0.970882 0.970882
3.78 0.971297 0.971297
3.79 0.971706 0.971706
3.8 0.97211 0.97211
3.81 0.972509 0.972509
3.82 0.972903 0.972903
3.83 0.973292 0.973292
3.84 0.973676 0.973676
3.85 0.974055 0.974055
3.86 0.974429 0.974429
3.87 0.974798 0.974798
3.88 0.975162 0.975162
3.89 0.975522 0.975522
3.9 0.975877 0.975877
3.91 0.976227 0.976227
3.92 0.976573 0.976573
3.93 0.976914 0.976914
3.94 0.977251 0.977251
3.95 0.977584 0.977584
3.96 0.977912 0.977912
3.97 0.978235 0.978235
3.98 0.978555 0.978555
3.99 0.97887 0.97887
4 0.979181 0.979181
4.01 0.979488 0.979488
4.02 0.979791 0.979791
4.03 0.98009 0.98009
4.04 0.980385 0.980385
4.05 0.980676 0.980676
4.06 0.980963 0.980963
